640,Persona9,10
645,Persona34,94
392,Persona48,72
524,Persona46,47
17,Persona43,78
786,Persona24,16
405,Persona41,47
536,Persona21,43
792,Persona23,62
668,Persona0,84
30,Persona42,71
545,Persona35,93
673,Persona40,29
802,Persona3,33
677,Persona29,91
551,Persona22,97
296,Persona38,4
298,Persona44,76
942,Persona15,57
302,Persona49,95
48,Persona17,95
819,Persona13,81
310,Persona14,35
313,Persona45,17
443,Persona10,49
323,Persona20,25
326,Persona12,89
198,Persona31,16
972,Persona4,30
717,Persona26,89
847,Persona36,67
848,Persona25,59
337,Persona28,92
217,Persona30,90
985,Persona37,44
477,Persona47,96
222,Persona8,50
863,Persona32,59
993,Persona2,38
229,Persona5,97
230,Persona6,22
747,Persona7,89
876,Persona16,63
108,Persona19,89
364,Persona27,35
494,Persona11,39
754,Persona1,43
370,Persona18,97
883,Persona39,34
639,Persona33,27
