972,Persona0,21
616,Persona1,37
157,Persona2,13
856,Persona3,31
710,Persona4,19
76,Persona5,35
612,Persona6,51
255,Persona7,9
918,Persona8,33
792,Persona9,7
492,Persona10,21
770,Persona11,57
709,Persona12,53
537,Persona13,52
809,Persona14,24
339,Persona15,63
943,Persona16,66
832,Persona17,9
132,Persona18,27
745,Persona19,25
296,Persona20,39
686,Persona21,98
197,Persona22,71
26,Persona23,47
696,Persona24,86
102,Persona25,69
957,Persona26,9
515,Persona27,79
321,Persona28,64
119,Persona29,10
412,Persona30,24
412,Persona31,84
656,Persona32,60
450,Persona33,82
817,Persona34,4
43,Persona35,95
321,Persona36,49
978,Persona37,79
125,Persona38,68
231,Persona39,76
642,Persona40,48
655,Persona41,26
742,Persona42,80
424,Persona43,22
192,Persona44,97
593,Persona45,62
969,Persona46,82
502,Persona47,42
772,Persona48,24
376,Persona49,78
