622,Persona0,8
939,Persona1,49
86,Persona2,83
630,Persona3,36
192,Persona4,88
19,Persona5,1
407,Persona6,86
661,Persona7,31
562,Persona8,55
448,Persona9,46
562,Persona10,60
510,Persona11,91
808,Persona12,15
150,Persona13,37
187,Persona14,18
172,Persona15,62
637,Persona16,46
376,Persona17,18
103,Persona18,79
608,Persona19,57
423,Persona20,49
681,Persona21,53
71,Persona22,78
689,Persona23,25
925,Persona24,16
721,Persona25,46
244,Persona26,67
749,Persona27,77
776,Persona28,30
507,Persona29,72
540,Persona30,65
522,Persona31,40
111,Persona32,67
39,Persona33,88
413,Persona34,89
514,Persona35,92
904,Persona36,44
478,Persona37,96
728,Persona38,84
76,Persona39,82
890,Persona40,49
265,Persona41,74
744,Persona42,51
733,Persona43,48
145,Persona44,53
846,Persona45,90
388,Persona46,5
538,Persona47,81
690,Persona48,62
917,Persona49,82
